City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,53.01,88,100,11.99,NZ,1604115127
Rikitea,-23.12,-134.97,76.1,64,0,2.66,PF,1604115799
Cabo San Lucas,22.89,-109.91,75.2,69,20,3.36,MX,1604115184
Ekibastuz,51.67,75.37,38.12,78,100,4.25,KZ,1604115259
Tocopilla,-22.09,-70.2,62.29,59,2,3.91,CL,1604115259
Moussoro,13.64,16.49,79.63,19,0,13.31,TD,1604115260
Bethel,41.37,-73.41,30.99,92,1,4.14,US,1604115260
Atambua,-9.11,124.89,89.24,43,1,2.84,ID,1604115260
Atuona,-9.8,-139.03,77.72,76,64,11.43,PF,1604115260
Chifeng,42.27,118.96,54.01,33,0,19.08,CN,1604115261
Saint Paul Harbor,57.79,-152.41,35.6,55,90,9.17,US,1604115188
Busselton,-33.65,115.33,69.17,64,100,10.92,AU,1604115802
Puerto Ayora,-0.74,-90.35,70.0,91,87,5.01,EC,1604115203
Novy Urengoy,66.08,76.63,33.37,95,100,15.66,RU,1604115262
Albany,42.6,-73.97,30.99,99,54,3.38,US,1604115607
Huangnihe,43.56,128.02,50.38,45,100,10.98,CN,1604115262
Avarua,-21.21,-159.78,75.2,78,93,9.17,CK,1604115804
High Rock,26.62,-78.28,78.67,85,38,16.33,BS,1604115263
Vaini,-21.2,-175.2,77.0,78,40,12.75,TO,1604115804
Severo-Kuril'sk,50.68,156.12,40.3,92,100,38.45,RU,1604115804
Bredasdorp,-34.53,20.04,50.0,76,20,2.8,ZA,1604115804
Zhigansk,66.77,123.37,-8.27,88,97,1.05,RU,1604115465
Sittwe,20.15,92.9,80.22,80,81,6.29,MM,1604115805
Curaçá,-8.99,-39.91,77.97,69,97,17.87,BR,1604115805
Barrow,71.29,-156.79,10.4,85,1,12.75,US,1604115127
Vao,-22.67,167.48,74.53,86,34,14.65,NC,1604115551
Kichera,55.94,110.1,25.41,86,100,2.3,RU,1604115805
Naze,28.37,129.48,78.8,57,75,24.16,JP,1604115806
Tobol,52.68,62.58,35.8,83,90,8.41,KZ,1604115806
Margate,51.38,1.39,57.0,80,13,3.0,GB,1604115806
Pemba,-12.97,40.52,77.9,76,30,2.62,MZ,1604115806
Arraial do Cabo,-22.97,-42.03,71.24,81,100,19.39,BR,1604115453
Bluff,-46.6,168.33,53.01,88,100,11.99,NZ,1604115462
Ushuaia,-54.8,-68.3,48.2,81,75,16.11,AR,1604115517
Macusani,-14.08,-70.43,39.11,83,89,4.74,PE,1604115807
Bijie,27.31,105.29,54.12,85,100,3.51,CN,1604115807
Road Town,18.42,-64.62,82.99,86,95,14.0,VG,1604115807
Esperance,-33.87,121.9,86.0,22,0,19.46,AU,1604115491
Leningradskiy,69.38,178.42,18.07,93,62,15.08,RU,1604115211
Vila Franca do Campo,37.72,-25.43,69.8,94,75,17.22,PT,1604115808
Tual,-5.67,132.75,84.04,69,3,11.3,ID,1604115554
Dingle,11.0,122.67,85.71,73,100,10.89,PH,1604115213
Hermanus,-34.42,19.23,45.0,93,0,11.83,ZA,1604115809
Galle,6.04,80.22,83.05,72,93,8.81,LK,1604115809
Tuatapere,-46.13,167.68,53.01,88,100,11.99,NZ,1604115516
Cape Town,-33.93,18.42,55.99,62,0,20.8,ZA,1604115728
Tiksi,71.69,128.87,7.18,95,100,3.58,RU,1604115809
Aklavik,68.22,-135.01,3.2,84,99,3.36,CA,1604115488
Sept-Îles,50.2,-66.38,19.4,79,20,5.82,CA,1604115628
Yellowknife,62.46,-114.35,14.0,85,75,9.17,CA,1604115763
La Palma,33.85,-118.05,68.0,45,1,3.0,US,1604115810
Mana,5.66,-53.78,79.61,87,3,10.83,GF,1604115531
Lebu,-37.62,-73.65,51.26,90,3,12.26,CL,1604115464
East London,-33.02,27.91,57.2,93,75,5.82,ZA,1604115466
Evensk,61.95,159.23,24.64,90,2,3.91,RU,1604115810
Sabha,27.04,14.43,56.68,65,21,9.6,LY,1604115521
Los Llanos de Aridane,28.66,-17.92,71.6,56,0,9.17,ES,1604115542
Saskylakh,71.92,114.08,-1.86,83,2,5.53,RU,1604115811
Punta Arenas,-53.15,-70.92,46.4,81,75,12.75,CL,1604115811
Bathsheba,13.22,-59.52,82.4,83,75,20.8,BB,1604115475
Whitehorse,60.72,-135.05,17.6,85,90,11.41,CA,1604115519
Ponta do Sol,32.67,-17.1,68.0,72,20,10.29,PT,1604115494
Te Anau,-45.42,167.72,57.96,80,90,4.12,NZ,1604115459
Makakilo City,21.35,-158.09,82.4,69,90,12.75,US,1604115812
San Mateo del Mar,16.2,-95.0,77.29,58,91,33.58,MX,1604115812
Qaanaaq,77.48,-69.36,14.04,90,94,6.08,GL,1604115812
Ternate,0.8,127.4,84.96,72,59,11.63,ID,1604115812
Vágur,61.47,-6.81,48.65,75,60,19.69,FO,1604115812
Longhua,23.61,114.19,81.64,50,22,4.09,CN,1604115813
The Valley,18.22,-63.06,82.4,74,40,11.41,AI,1604115519
Port-Gentil,-0.72,8.78,78.98,87,100,11.79,GA,1604115530
Bereda,43.27,-7.54,57.99,88,69,8.99,ES,1604115813
San Juan,-31.54,-68.54,64.72,30,0,10.74,AR,1604115814
Mareeba,-17.0,145.43,93.0,58,2,11.41,AU,1604115814
Mahébourg,-20.41,57.7,69.8,56,20,14.99,MU,1604115484
Panguna,-6.32,155.48,75.31,94,92,1.97,PG,1604115568
Vera Cruz,-12.63,-41.03,69.3,89,94,4.41,BR,1604115814
Clyde River,70.47,-68.59,12.2,92,90,3.36,CA,1604115518
Savannah Bight,16.45,-85.85,82.87,75,100,10.87,HN,1604115815
Cidreira,-30.18,-50.21,63.18,69,81,8.75,BR,1604115478
Arlit,18.74,7.39,73.0,21,0,11.88,NE,1604115815
Jamestown,42.1,-79.24,35.01,93,90,8.05,US,1604115604
Roshchino,60.25,29.61,44.01,85,96,3.98,RU,1604115815
Hong Kong,22.29,114.16,75.99,63,36,3.0,HK,1604115323
Foumban,5.73,10.9,63.09,87,32,2.01,CM,1604115816
Skellefteå,64.75,20.95,24.8,100,0,3.36,SE,1604115816
Mpanda,-6.37,31.04,70.18,58,74,4.88,TZ,1604115816
Faanui,-16.48,-151.75,79.07,74,4,16.24,PF,1604115216
Jizan,17.33,42.67,80.6,78,0,4.7,SA,1604115817
Agüimes,27.91,-15.45,77.0,47,0,2.24,ES,1604115817
Boende,-0.22,20.87,67.39,96,76,1.12,CD,1604115817
Torbay,47.67,-52.73,34.0,64,90,12.75,CA,1604115486
Sola,-13.88,167.55,86.0,79,75,5.82,VU,1604115817
Huarmey,-10.07,-78.15,62.46,85,100,5.86,PE,1604115817
Muros,42.78,-9.06,61.0,91,99,11.01,ES,1604115817
Reriutaba,-4.14,-40.58,75.96,69,60,3.94,BR,1604115818
Souillac,-20.52,57.52,69.8,56,20,14.99,MU,1604115452
Nikolskoye,59.7,30.79,45.0,93,90,4.47,RU,1604115818
Carnarvon,-24.87,113.63,78.8,57,90,14.99,AU,1604115482
Letterkenny,54.95,-7.73,55.8,92,100,16.87,IE,1604115818
Shagonar,51.53,92.8,35.46,78,100,5.21,RU,1604115818
Barabai,-2.58,115.38,92.3,56,46,1.9,ID,1604115542
Port Alfred,-33.59,26.89,60.49,65,91,3.53,ZA,1604115819
Sawākin,19.11,37.33,83.1,64,0,1.41,SD,1604115819
Cayenne,4.93,-52.33,78.8,94,0,11.27,GF,1604115476
Camacha,33.08,-16.33,66.2,88,20,3.36,PT,1604115558
Pangnirtung,66.15,-65.71,11.35,79,91,3.67,CA,1604115819
Fukuechō,32.69,128.84,64.4,48,20,8.05,JP,1604115561
Hurghada,27.26,33.81,70.95,85,0,13.02,EG,1604115697
Hithadhoo,-0.6,73.08,83.84,73,100,10.13,MV,1604115820
Port Lincoln,-34.73,135.87,60.82,68,53,13.49,AU,1604115465
Kyren,51.68,102.14,32.29,81,98,3.09,RU,1604115820
Bambous Virieux,-20.34,57.76,71.01,56,20,14.99,MU,1604115820
Kapaa,22.08,-159.32,80.6,65,20,5.53,US,1604115718
Deputatsky,69.3,139.9,1.33,95,100,2.71,RU,1604115820
Hilo,19.73,-155.09,78.8,83,90,8.05,US,1604115681
Westport,41.14,-73.36,34.0,80,1,9.17,US,1604115806
New Norfolk,-42.78,147.06,73.0,36,17,4.0,AU,1604115821
Najrān,17.49,44.13,55.4,37,0,1.45,SA,1604115506
Port Elizabeth,-33.92,25.57,51.8,81,20,5.82,ZA,1604115821
Khatanga,71.97,102.5,-10.07,85,0,5.5,RU,1604115821
Sitka,57.05,-135.33,46.4,87,90,14.99,US,1604115517
Sioux Lookout,50.1,-91.92,30.2,80,75,8.05,CA,1604115386
Lucea,18.45,-78.17,82.4,78,40,5.82,JM,1604115822
Laguna,38.42,-121.42,61.0,58,1,2.93,US,1604115528
Qaqortoq,60.72,-46.03,23.0,79,89,3.36,GL,1604115481
Halifax,44.65,-63.57,36.0,69,100,9.17,CA,1604115714
Castro,-24.79,-50.01,51.46,93,100,9.08,BR,1604115822
Itarema,-2.92,-39.92,77.09,83,13,11.77,BR,1604115822
San Quintín,30.48,-115.95,64.24,73,88,3.89,MX,1604115545
Denpasar,-8.65,115.22,75.92,88,100,2.3,ID,1604115766
Hasaki,35.73,140.83,66.0,48,20,14.99,JP,1604115485
Nantucket,41.28,-70.1,42.01,59,90,13.87,US,1604115555
Upington,-28.45,21.26,68.0,34,0,2.24,ZA,1604115824
Xinan,26.72,119.86,68.23,55,2,4.03,CN,1604115824
Jiexiu,37.02,111.91,55.74,32,0,11.83,CN,1604115824
Longyearbyen,78.22,15.64,17.6,72,20,1.12,SJ,1604115824
Imbituba,-28.24,-48.67,62.6,88,40,9.17,BR,1604115527
Mackay,-21.15,149.2,88.0,55,0,19.46,AU,1604115544
Upernavik,72.79,-56.15,19.49,96,97,2.95,GL,1604115452
Bandarbeyla,9.49,50.81,77.49,80,45,10.83,SO,1604115466
Sibolga,1.74,98.78,86.54,58,49,5.35,ID,1604115825
San Francisco de Ojuera,14.75,-88.19,69.96,86,85,1.28,HN,1604115825
Half Moon Bay,37.46,-122.43,57.99,76,5,3.36,US,1604115809
Atar,20.52,-13.05,81.34,17,77,7.47,MR,1604115825
Saint George,37.1,-113.58,62.6,18,1,2.13,US,1604115826
Pevek,69.7,170.31,19.18,97,100,8.12,RU,1604115826
Kruisfontein,-34.0,24.73,48.99,94,0,3.02,ZA,1604115448
Lower Burrell,40.55,-79.76,37.0,93,15,2.59,US,1604115826
Wanaka,-44.7,169.15,61.34,64,100,6.02,NZ,1604115827
Klaksvík,62.23,-6.59,48.2,87,9,16.11,FO,1604115514
Rocha,-34.48,-54.33,44.2,91,51,1.81,UY,1604115827
Tuntum,-5.26,-44.65,77.92,76,13,4.03,BR,1604115827
Tuktoyaktuk,69.45,-133.04,3.2,84,40,9.17,CA,1604115460
Sinnamary,5.38,-52.95,79.68,87,14,11.03,GF,1604115827
Kolokani,13.57,-8.03,74.19,31,0,4.94,ML,1604115828
Gambiran,-6.8,111.5,88.92,56,73,1.9,ID,1604115828
Vila Velha,-20.33,-40.29,75.2,94,75,5.82,BR,1604115486
Hobart,-42.88,147.33,73.99,45,20,12.75,AU,1604115240
Kaeo,-35.1,173.78,71.01,83,58,10.0,NZ,1604115557
Ahmadpur Sial,30.68,71.75,62.6,82,0,2.59,PK,1604115829
Mar del Plata,-38.0,-57.56,53.01,87,0,4.7,AR,1604115771
Ribeira Grande,38.52,-28.7,68.95,93,100,19.64,PT,1604115484
Tevriz,57.51,72.4,30.45,97,94,7.0,RU,1604115829
Monticello,45.31,-93.79,37.99,74,0,6.93,US,1604115829
Provideniya,64.38,-173.3,21.18,84,18,7.31,RU,1604115491
Puerto Colombia,10.99,-74.95,77.0,94,75,4.7,CO,1604115830
Udachny,66.42,112.4,1.4,84,90,2.24,RU,1604115473
Ust-Tsilma,65.44,52.15,32.56,95,51,7.05,RU,1604115830
Butaritari,3.07,172.79,82.47,77,48,19.91,KI,1604115454
Dvinskoy Bereznik,62.86,42.71,31.87,96,48,5.12,RU,1604115830
Cherskiy,68.75,161.3,6.12,89,97,5.44,RU,1604115831
Miles City,46.41,-105.84,60.8,48,20,25.28,US,1604115831
Tasiilaq,65.61,-37.64,32.0,97,100,35.57,GL,1604115831
Carauari,-4.88,-66.9,74.19,97,100,2.51,BR,1604115831
Talnakh,69.49,88.4,14.0,78,75,29.08,RU,1604115831
Nhulunbuy,-12.23,136.77,91.4,49,0,12.75,AU,1604115832
Laas,46.62,10.7,39.2,80,5,4.7,IT,1604115509
Guayaramerín,-10.84,-65.36,73.18,73,99,4.09,BO,1604115832
Springbok,-29.66,17.89,51.03,47,0,8.43,ZA,1604115832
Bilibino,68.05,166.44,5.14,89,93,1.48,RU,1604115488
Takoradze,4.88,-1.76,77.59,89,23,5.44,GH,1604115833
Hailar,49.2,119.7,32.61,97,100,11.92,CN,1604115463
San Isidro,-12.12,-77.05,64.4,77,90,12.75,PE,1604115833
Spring Hill,28.48,-82.53,59.0,77,1,5.82,US,1604115805
Snizhne,48.03,38.77,48.51,93,93,2.15,UA,1604115834
Fortuna,40.6,-124.16,51.8,93,1,4.7,US,1604115516
Opuwo,-18.06,13.84,65.43,62,6,3.13,NA,1604115484
Kokoda,-8.88,147.74,86.65,49,80,5.01,PG,1604115834
Codrington,-38.27,141.97,56.5,75,92,13.27,AU,1604115377
Honiara,-9.43,159.95,87.8,66,20,6.93,SB,1604115835
Bārmer,25.75,71.38,80.17,16,0,6.49,IN,1604115835
Dunmore East,52.15,-6.99,57.0,94,100,18.99,IE,1604115835
Kamaishi,39.27,141.88,57.2,50,20,2.24,JP,1604115835
Ruska Poliana,49.42,31.92,49.06,90,100,8.75,UA,1604115835
Terrace Bay,48.78,-87.1,35.6,69,0,6.93,CA,1604115835
Touros,-5.2,-35.46,75.2,88,40,3.36,BR,1604115489
Tapalpa,19.95,-103.77,57.0,76,85,1.72,MX,1604115836
Ilulissat,69.22,-51.1,21.2,62,97,1.12,GL,1604115541
Nizwá,22.93,57.53,77.52,17,0,2.42,OM,1604115664
Vostok,46.49,135.88,38.25,87,99,4.14,RU,1604115836
Nanortalik,60.14,-45.24,27.39,92,88,10.78,GL,1604115836
Bereket,39.24,55.52,57.61,32,0,8.72,TM,1604115836
Kibungo,-2.16,30.54,62.6,93,75,3.36,RW,1604115836
Hofn,64.25,-15.21,45.37,84,25,17.43,IS,1604115498
Szentgotthárd,46.95,16.27,48.0,72,95,3.87,HU,1604115837
Lorengau,-2.02,147.27,84.04,71,94,1.12,PG,1604115518
San Policarpo,12.18,125.51,82.58,83,100,13.67,PH,1604115837
Bloemfontein,-29.12,26.21,60.8,82,99,5.82,ZA,1604115837
Ulaanbaatar,47.91,106.88,24.8,58,0,8.95,MN,1604115543
Bethanien,-26.5,17.16,55.72,39,25,3.83,NA,1604115838
Kilindoni,-7.91,39.67,79.2,78,53,9.17,TZ,1604115838
Malé,4.17,73.51,86.0,74,40,4.7,MV,1604115838
